id	object_type	command
PEDAGAT1_rm	rxn	id:PDAGATpe1_rm
PEDAGAT2_rm	rxn	id:PDAGATpe2_rm
PEDAGAT3_rm	rxn	id:PDAGATpe3_rm
PEDAGAT4_rm	rxn	id:PDAGATpe4_rm
PEDAGAT5_rm	rxn	id:PDAGATpe5_rm
PEDAGAT6_rm	rxn	id:PDAGATpe6_rm
PEDAGAT7_rm	rxn	id:PDAGATpe7_rm
PEDAGAT8_rm	rxn	id:PDAGATpe8_rm
PEDAGAT9_rm	rxn	id:PDAGATpe9_rm
PEDAGAT10_rm	rxn	id:PDAGATpe10_rm
PEDAGAT11_rm	rxn	id:PDAGATpe11_rm
PEDAGAT12_rm	rxn	id:PDAGATpe12_rm
PEDAGAT13_rm	rxn	id:PDAGATpe13_rm
PEDAGAT14_rm	rxn	id:PDAGATpe14_rm
PEDAGAT15_rm	rxn	id:PDAGATpe15_rm
PEDAGAT16_rm	rxn	id:PDAGATpe16_rm
PEDAGAT17_rm	rxn	id:PDAGATpe17_rm
PEDAGAT18_rm	rxn	id:PDAGATpe18_rm
PEDAGAT19_rm	rxn	id:PDAGATpe19_rm
PEDAGAT20_rm	rxn	id:PDAGATpe20_rm
PEDAGAT21_rm	rxn	id:PDAGATpe21_rm
PEDAGAT22_rm	rxn	id:PDAGATpe22_rm
PEDAGAT23_rm	rxn	id:PDAGATpe23_rm
PEDAGAT24_rm	rxn	id:PDAGATpe24_rm
PEDAGAT25_rm	rxn	id:PDAGATpe25_rm
PEDAGAT26_rm	rxn	id:PDAGATpe26_rm
PEDAGAT27_rm	rxn	id:PDAGATpe27_rm
PEDAGAT28_rm	rxn	id:PDAGATpe28_rm
PEDAGAT29_rm	rxn	id:PDAGATpe29_rm
PEDAGAT30_rm	rxn	id:PDAGATpe30_rm
PEDAGAT31_rm	rxn	id:PDAGATpe31_rm
PEDAGAT32_rm	rxn	id:PDAGATpe32_rm
PEDAGAT33_rm	rxn	id:PDAGATpe33_rm
PEDAGAT34_rm	rxn	id:PDAGATpe34_rm
PEDAGAT35_rm	rxn	id:PDAGATpe35_rm
PEDAGAT36_rm	rxn	id:PDAGATpe36_rm
PEDAGAT37_rm	rxn	id:PDAGATpe37_rm
PEDAGAT38_rm	rxn	id:PDAGATpe38_rm
PEDAGAT39_rm	rxn	id:PDAGATpe39_rm
PEDAGAT40_rm	rxn	id:PDAGATpe40_rm
PEDAGAT41_rm	rxn	id:PDAGATpe41_rm
PEDAGAT42_rm	rxn	id:PDAGATpe42_rm
PEDAGAT43_rm	rxn	id:PDAGATpe43_rm
PEDAGAT44_rm	rxn	id:PDAGATpe44_rm
PEDAGAT45_rm	rxn	id:PDAGATpe45_rm
PEDAGAT46_rm	rxn	id:PDAGATpe46_rm
PEDAGAT47_rm	rxn	id:PDAGATpe47_rm
PEDAGAT48_rm	rxn	id:PDAGATpe48_rm
PEDAGAT49_rm	rxn	id:PDAGATpe49_rm
PEDAGAT50_rm	rxn	id:PDAGATpe50_rm
PEDAGAT51_rm	rxn	id:PDAGATpe51_rm
PEDAGAT52_rm	rxn	id:PDAGATpe52_rm
PEDAGAT53_rm	rxn	id:PDAGATpe53_rm
PEDAGAT54_rm	rxn	id:PDAGATpe54_rm
PEDAGAT55_rm	rxn	id:PDAGATpe55_rm
PEDAGAT56_rm	rxn	id:PDAGATpe56_rm
PEDAGAT57_rm	rxn	id:PDAGATpe57_rm
PEDAGAT58_rm	rxn	id:PDAGATpe58_rm
PEDAGAT59_rm	rxn	id:PDAGATpe59_rm
PEDAGAT60_rm	rxn	id:PDAGATpe60_rm
PEDAGAT61_rm	rxn	id:PDAGATpe61_rm
PEDAGAT62_rm	rxn	id:PDAGATpe62_rm
PEDAGAT63_rm	rxn	id:PDAGATpe63_rm
PEDAGAT64_rm	rxn	id:PDAGATpe64_rm
PEDAGAT65_rm	rxn	id:PDAGATpc1_rm
PEDAGAT66_rm	rxn	id:PDAGATpc2_rm
PEDAGAT67_rm	rxn	id:PDAGATpc3_rm
PEDAGAT68_rm	rxn	id:PDAGATpc4_rm
PEDAGAT69_rm	rxn	id:PDAGATpc5_rm
PEDAGAT70_rm	rxn	id:PDAGATpc6_rm
PEDAGAT71_rm	rxn	id:PDAGATpc7_rm
PEDAGAT72_rm	rxn	id:PDAGATpc8_rm
PEDAGAT73_rm	rxn	id:PDAGATpc9_rm
PEDAGAT74_rm	rxn	id:PDAGATpc10_rm
PEDAGAT75_rm	rxn	id:PDAGATpc11_rm
PEDAGAT76_rm	rxn	id:PDAGATpc12_rm
PEDAGAT77_rm	rxn	id:PDAGATpc13_rm
PEDAGAT78_rm	rxn	id:PDAGATpc14_rm
PEDAGAT79_rm	rxn	id:PDAGATpc15_rm
PEDAGAT80_rm	rxn	id:PDAGATpc16_rm
PEDAGAT81_rm	rxn	id:PDAGATpc17_rm
PEDAGAT82_rm	rxn	id:PDAGATpc18_rm
PEDAGAT83_rm	rxn	id:PDAGATpc19_rm
PEDAGAT84_rm	rxn	id:PDAGATpc20_rm
PEDAGAT85_rm	rxn	id:PDAGATpc21_rm
PEDAGAT86_rm	rxn	id:PDAGATpc22_rm
PEDAGAT87_rm	rxn	id:PDAGATpc23_rm
PEDAGAT88_rm	rxn	id:PDAGATpc24_rm
PEDAGAT89_rm	rxn	id:PDAGATpc25_rm
PEDAGAT90_rm	rxn	id:PDAGATpc26_rm
PEDAGAT91_rm	rxn	id:PDAGATpc27_rm
PEDAGAT92_rm	rxn	id:PDAGATpc28_rm
PEDAGAT93_rm	rxn	id:PDAGATpc29_rm
PEDAGAT94_rm	rxn	id:PDAGATpc30_rm
PEDAGAT95_rm	rxn	id:PDAGATpc31_rm
PEDAGAT96_rm	rxn	id:PDAGATpc32_rm
PEDAGAT97_rm	rxn	id:PDAGATpc33_rm
PEDAGAT98_rm	rxn	id:PDAGATpc34_rm
PEDAGAT99_rm	rxn	id:PDAGATpc35_rm
PEDAGAT100_rm	rxn	id:PDAGATpc36_rm
PEDAGAT101_rm	rxn	id:PDAGATpc37_rm
PEDAGAT102_rm	rxn	id:PDAGATpc38_rm
PEDAGAT103_rm	rxn	id:PDAGATpc39_rm
PEDAGAT104_rm	rxn	id:PDAGATpc40_rm
PEDAGAT105_rm	rxn	id:PDAGATpc41_rm
PEDAGAT106_rm	rxn	id:PDAGATpc42_rm
PEDAGAT107_rm	rxn	id:PDAGATpc43_rm
PEDAGAT108_rm	rxn	id:PDAGATpc44_rm
PEDAGAT109_rm	rxn	id:PDAGATpc45_rm
PEDAGAT110_rm	rxn	id:PDAGATpc46_rm
PEDAGAT111_rm	rxn	id:PDAGATpc47_rm
