id	object_type	command
FMETTRS_c	rxn	copy:FMETTRS_m
FMETTRS_c	rxn	gpr:YBL013W
5DPMIPPH_c	rxn	reaction:5dpmipp_c + h2o_c --> h_c + inoshp_c + pi_c
ACACT180i_x	rxn	reaction:3ohodcoa_x + coa_x --> accoa_x + pmtcoa_x
ACOAO260_x	rxn	reaction:hxccoa_x + o2_x --> h2o2_x + hxc2coa_x
#ARGTRS_m	rxn	reaction:arg__L_m + atp_m + trnaarg_m --> amp_m + argtrna_m + ppi_m
trnaarg_m	met	formula:Trnaarg
trnaarg_m	met	charge:-2
argtrna_m	met	formula:C6H14N4OTrnaarg
argtrna_m	met	charge:0
ATPATF2_c	rxn	reaction:adp_c + gtp_c + 5 h_c --> ap4g_c + pi_c
FRTT4HBZ_c	rxn	reaction:4hbz_c + pren9dp_c + h_c <=> 3nphb_c + ppi_c
CERS2A26_r	rxn	reaction:hxccoa_r + psphings_r --> cer2A_26_r + coa_r + h_r
DHCRD124_r	rxn	reaction:sphgn_r + ttc_r <=> cer1_24_r + h2o_r
DHCRD126_r	rxn	reaction:hxca_r + sphgn_r <=> cer1_26_r +  h2o_r
DHCRD2A24_r	rxn	reaction:cer2A_24_r + h2o_r --> psphings_r + ttc_r
DHCRD2A26_r	rxn	reaction:cer2A_26_r + h2o_r --> hxca_r + psphings_r
PMI1346PH_c	rxn	reaction:56dpmitp_c + 3.0 h2o_c --> 11 h_c + mi13456p_c + 3.0 pi_c
FMNRx_c	rxn	reaction:fmn_c + 2 h_c + nadh_c --> fmnh2_c + nad_c
FMNRx2_c	rxn	reaction:fmn_c + 2 h_c + nadph_c --> fmnh2_c + nadp_c
FRD_m	rxn	reaction:fadh2_m + fum_m --> fad_m + succ_m + h_m
Q6MT2_m	rxn	reaction:2hpmhmbq_m + amet_m + h_m --> ahcys_m + q6h2_m
IPK1_n	rxn	reaction:atp_n + mi13456p_n --> adp_n + inoshp_n + 6 h_n
LEUTRS_m	rxn	reaction:atp_m + leu__L_m + trnaleu_m --> amp_m + leutrna_m + ppi_m
trnaleu_m	met	formula:Trnaleu
trnaleu_m	met	charge:-1
leutrna_m	met	formula:C6H12NOTrnaleu
leutrna_m	met	charge:0
LYSTRS_m	rxn	reaction:atp_m + lys__L_m + trnalys_m --> amp_m + lystrna_m + ppi_m
trnalys_m	met	formula:Trnalys
